Movie,5136,918,2824,860,442,3556,5261,2492,4942,2267,MAE,MSE,RMSE
11: Star Wars: Episode IV - A New Hope (1977),4.5,5,4.5,4,3,4,,4.5,,,0.414286,0.258571,0.508499
12: Finding Nemo (2003),5,5,,4,,4,,3.5,3.5,,1.166667,1.853333,1.361372
13: Forrest Gump (1994),5,4.5,5,4.5,3,4,5,3.5,4,3.5,0.5,0.346,0.588218
14: American Beauty (1999),4,,,,4,4,,3.5,4,,1.02,1.346,1.160172
22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),5,3,4.5,2.5,1,3,1.5,4,3.5,,1.088889,1.433333,1.197219
24: Kill Bill: Vol. 1 (2003),5,,4,3,5,5,0.5,4,4,5,0.644444,0.504444,0.710243
38: Eternal Sunshine of the Spotless Mind (2004),5,5,,,3,,,,5,1.5,0.98,1.162,1.077961
63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3,,,4,2,,4,4,,,0.46,0.53,0.728011
77: Memento (2000),,5,5,4.5,4,,5,4,5,4,0.6625,0.60375,0.777014
85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5,,,,5,4,,5,3.5,,0.38,0.194,0.440454
