User,11: Star Wars: Episode IV - A New Hope (1977),12: Finding Nemo (2003),13: Forrest Gump (1994),14: American Beauty (1999),22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),24: Kill Bill: Vol. 1 (2003),38: Eternal Sunshine of the Spotless Mind (2004),63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),77: Memento (2000),85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Rating Count,MAE,MSE,RMSE,corr
5136,4.5,5,5,4,5,5,5,3,,5,9,0.733333,0.791111,0.889444,0.169813
918,5,5,4.5,,3,,5,,5,,6,0.8,1.47,1.212436,0.458946
2824,4.5,,5,,4.5,4,,,5,,5,0.4,0.224,0.473286,0.347677
860,4,4,4.5,,2.5,3,,4,4.5,,7,0.785714,0.858571,0.926591,-0.148181
442,3,,3,4,1,5,3,2,4,5,9,0.677778,0.641111,0.800694,0.77445
3556,4,4,4,4,3,5,,,,4,7,0.842857,1.075714,1.037166,-0.095887
5261,,,5,,1.5,0.5,,4,5,,5,0.82,1.17,1.081665,0.920746
2492,4.5,3.5,3.5,3.5,4,4,,4,4,5,9,0.588889,0.412222,0.642045,0.413615
4942,,3.5,4,4,3.5,4,5,,5,3.5,8,0.7625,0.61375,0.783422,0.347857
2267,,,3.5,,,5,1.5,,4,,4,0.9,0.995,0.997497,0.633743
  
