,Users,Ratings,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Metrics,Unnamed: 13
0,,11: Star Wars: Episode IV - A New Hope (1977),12: Finding Nemo (2003),13: Forrest Gump (1994),14: American Beauty (1999),22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),24: Kill Bill: Vol. 1 (2003),38: Eternal Sunshine of the Spotless Mind (2004),63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),77: Memento (2000),85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981), ,Rating Count,
1,5136,4.5,5,5,4,5,5,5,3,,5,,9,
2,918,5,5,4.5,,3,,5,,5,,,6,
3,2824,4.5,,5,,4.5,4,,,5,,,5,
4,860,4,4,4.5,,2.5,3,,4,4.5,,,7,
5,442,3,,3,4,1,5,3,2,4,5,,9,
6,3556,4,4,4,4,3,5,,,,4,,7,
7,5261,,,5,,1.5,0.5,,4,5,,,5,
8,2492,4.5,3.5,3.5,3.5,4,4,,4,4,5,,9,
9,4942,,3.5,4,4,3.5,4,5,,5,3.5,,8,
10,2267,,,3.5,,,5,1.5,,4,,,4,
11,,,,,,,,,,,,,,
12,Count,7,6,10,5,9,9,5,5,8,5,,,
13,,,,,,,,,,,,,,
14,Users,Predictions,,,,,,,,,,,,
15,5136,4.1,4.3,4.7,3.7,3.8,4.8,3.2,4.1,,4.4,,,
16,918,4,2.3,4.6,,2.6,,4.4,,5,,,,
17,2824,4.7,,4.8,,3.9,4.2,,,4.2,,,,
18,860,4,3,3.8,,4.1,3.6,,2.8,4.1,,,,
19,442,3.6,,4.2,3,2.2,4.2,2.2,2,4.5,5,,,
20,3556,4.3,4.7,3.7,2,4.4,4.1,,,,4.3,,,
21,5261,,,4.6,,3.5,1.7,,4,4.5,,,,
22,2492,4.1,2.7,4.2,4.3,3.3,3.3,,4,3.2,4.6,,,
23,4942,,2.4,3.3,5,4.2,4.6,4.4,,4.2,4.1,,,
24,2267,,,3.9,,,4.4,2.6,,2.5,,,,
25,,,,,,,,,,,,,,
26,Users,Abs Error,,,,,,,,,,,MAE (by User),
27,5136,0.40000000000000036,0.7000000000000002,0.2999999999999998,0.2999999999999998,1.2000000000000002,0.20000000000000018,1.7999999999999998,1.0999999999999996,,0.5999999999999996,,,
28,918,1,2.7,0.09999999999999964,,0.3999999999999999,,0.5999999999999996,,0,,,,
29,2824,0.20000000000000018,,0.20000000000000018,,0.6000000000000001,0.20000000000000018,,,0.7999999999999998,,,,
30,860,0,1,0.7000000000000002,,1.5999999999999996,0.6000000000000001,,1.2000000000000002,0.40000000000000036,,,,
31,442,0.6000000000000001,,1.2000000000000002,1,1.2000000000000002,0.7999999999999998,0.7999999999999998,0,0.5,0,,,
32,3556,0.2999999999999998,0.7000000000000002,0.2999999999999998,2,1.4000000000000004,0.9000000000000004,,,,0.2999999999999998,,,
33,5261,,,0.40000000000000036,,2,1.2,,0,0.5,,,,
34,2492,0.40000000000000036,0.7999999999999998,0.7000000000000002,0.7999999999999998,0.7000000000000002,0.7000000000000002,,0,0.7999999999999998,0.40000000000000036,,,
35,4942,,1.1,0.7000000000000002,1,0.7000000000000002,0.5999999999999996,0.5999999999999996,,0.7999999999999998,0.5999999999999996,,,
36,2267,,,0.3999999999999999,,,0.5999999999999996,1.1,,1.5,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,<---- MAE by Movie,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,Users,Squared Error,,,,,,,,,,,MSE (by user),RMSE(by user)
47,5136,,,,,,,,,,,,,
48,918,,,,,,,,,,,,,
49,2824,,,,,,,,,,,,,
50,860,,,,,,,,,,,,,
51,442,,,,,,,,,,,,,
52,3556,,,,,,,,,,,,,
53,5261,,,,,,,,,,,,,
54,2492,,,,,,,,,,,,,
55,4942,,,,,,,,,,,,,
56,2267,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,Users,Correlations between Ratings and Predictions,,,,,,,,,,,,
68,5136,,,,,,,,,,,,,
69,918,,,,,,,,,,,,,
70,2824,,,,,,,,,,,,,
71,860,,,,,,,,,,,,,
72,442,,,,,,,,,,,,,
73,3556,,,,,,,,,,,,,
74,5261,,,,,,,,,,,,,
75,2492,,,,,,,,,,,,,
76,4942,,,,,,,,,,,,,
77,2267,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,Overall,,,,,,,,,,,,,
