,Unnamed: 0,1648,5136,918,2824,3867,860,3712,2968,3525,4323,3617,4360,2756,89,442,3556,5261,2492,5062,2486,4942,2267,4809,3853,2288
0,11: Star Wars: Episode IV - A New Hope (1977),,4.5,5.0,4.5,4.0,4.0,,5.0,4.0,5.0,,4.0,,4.0,3.0,4.0,,4.5,4.0,3.5,,,,,
1,12: Finding Nemo (2003),,5.0,5.0,,4.0,4.0,4.5,4.5,4.0,5.0,,4.0,5.0,4.5,,4.0,,3.5,4.0,2.0,3.5,,,,3.5
2,13: Forrest Gump (1994),,5.0,4.5,5.0,4.5,4.5,,5.0,4.5,5.0,5.0,4.5,4.5,5.0,3.0,4.0,5.0,3.5,4.5,4.5,4.0,3.5,4.5,3.5,3.5
3,14: American Beauty (1999),,4.0,,,,,4.5,2.0,3.5,5.0,3.5,5.0,3.5,,4.0,4.0,,3.5,4.5,3.5,4.0,,3.5,,
4,22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.0,5.0,3.0,4.5,4.0,2.5,,5.0,3.0,4.0,4.0,4.5,4.0,,1.0,3.0,1.5,4.0,4.0,2.5,3.5,,5.0,,3.5
5,24: Kill Bill: Vol. 1 (2003),3.0,5.0,,4.0,3.0,3.0,,0.5,3.5,5.0,4.0,4.0,4.0,5.0,5.0,5.0,0.5,4.0,4.0,4.5,4.0,5.0,,5.0,3.0
6,38: Eternal Sunshine of the Spotless Mind (2004),,5.0,5.0,,,,,0.5,4.0,5.0,,3.0,,5.0,3.0,,,,4.0,3.0,5.0,1.5,5.0,5.0,
7,63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,3.0,,,,4.0,,2.5,3.5,2.0,,,,,2.0,,4.0,4.0,,3.5,,,,4.0,5.0
8,77: Memento (2000),,,5.0,5.0,,4.5,,3.0,4.5,3.5,3.5,4.0,4.0,,4.0,,5.0,4.0,4.0,4.5,5.0,4.0,,4.5,5.0
9,85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),,5.0,,,4.5,,,3.0,4.0,5.0,,4.5,,,5.0,4.0,,5.0,4.0,4.5,3.5,,,4.0,3.0
